indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
HGDP00690.DG	HGDP00690	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00691.DG	HGDP00691	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00694.DG	HGDP00694	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00696.DG	HGDP00696	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00697.DG	HGDP00697	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00698.DG	HGDP00698	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00699.DG	HGDP00699	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00700.DG	HGDP00700	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00722.DG	HGDP00722	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00724.DG	HGDP00724	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00725.DG	HGDP00725	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00726.DG	HGDP00726	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00727.DG	HGDP00727	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00729.DG	HGDP00729	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00730.DG	HGDP00730	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00731.DG	HGDP00731	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00732.DG	HGDP00732	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00733.DG	HGDP00733	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00734.DG	HGDP00734	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00735.DG	HGDP00735	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00736.DG	HGDP00736	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00737.DG	HGDP00737	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00739.DG	HGDP00739	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00740.DG	HGDP00740	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00745.DG	HGDP00745	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00746.DG	HGDP00746	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
PAPV_noUDG.SG	PAPV_52	Context	300	29	Panama__City,__Catedral	Panama	9.01	-79.49	<2500.SNPs	FALSE	FALSE
PAPV_53_noUDG.SG	PAPV_53	Context	300	29	Panama__City,__Catedral	Panama	9.01	-79.49	..	FALSE	FALSE
PAPV_61_noUDG.SG	PAPV_61	Context	300	29	Panama__City,__Catedral	Panama	9.01	-79.49	<2500.SNPs	FALSE	FALSE
PAPV_26_noUDG.SG	PAPV_26	Context	425	14	Panama__City,__Sur__de__la__Plaza	Panama	9.01	-79.49	2500.to.5000.SNPs	FALSE	FALSE
PAPV_93_noUDG.SG	PAPV_93	Context	300	29	Panama__City,__Catedral	Panama	9.01	-79.49	..	FALSE	TRUE
